"feature_id","name","description","mention_count","avg_star_rating","positive_count","negative_count","neutral_count","pct_positive","pct_negative","top_quotes_en","top_quotes_orig"
"download_export","Download and export","Failures or problems downloading or exporting the generated media","19","3.0","0","18","1","0.0","0.947","can't extend the first generated video, can't download the video, always failed to download media, but browser works fine | Very good app. Just small bugs with the player of generated video content and download failures of the same. | The app is good, the problem is you can't download the created videos","cant extend the first generated video..cant download the video always failed to download media..but browser works fine... | Muy buena app. Nomás hay pequeños fallos de reproductor del contenido de video generado y fallos en la descarga del mismo. | o aplicativo é bom, o problema é que não tá dando pra baixar os vídeos criados 🙄"
"extend_video_feature","Extend video / what-happens-next","The removed Extend Video / 'What happens next' feature for making longer continuous videos","18","2.94","0","18","0","0.0","1.0","Got really really bad, didn't like it, can't use some features like using the same prompt to animate, very very bad | can't extend the first generated video, can't download the video, always failed to download media, but browser works fine | I was waiting for this app, but so far, the rendering is poor. It doesn't understand prompts, and generates videos completely different from the image. You finally included an Animate feature. But you removed the Extend ","ficou muito ruim mesmo , não gostei uma pena não conseguir usar alguns recursos como usar o mesmo prompt pra animar , ficou muito mas muito ruim | cant extend the first generated video..cant download the video always failed to download media..but browser works fine... | I was waiting for this app, but so far, the rendering is poor. It doesn’t understand prompts, and generates videos completely different from the image. You finally included an 'Animate' feature. But you removed the Exten"
"nostalgia_for_old_version","Old version was better","Strong preference for a previous version of the app or web product; 'bring back the old'","18","1.61","0","18","0","0.0","1.0","too slow to load. previous version was best | Right now it's very bad, can barely create videos, sometimes takes too long, sometimes fails, sometimes asks for new prompt, many many. In summary, after the update it's worse than before | Since the update it became very bad","too slow to loade. previous version was best | ตอนนี้แย่มาก สร้างวิดีโอแทบไม่ได้เลย เดี่ยวก็ใช้เวลานานเกินไปเดี๋ยวก็ล้มเหลวเดี๋ยวก็ให้ใส่พรอมพ์ใหม่ มากมายหลายอัน สรุปอัพเดทแล้วห่วยแตกกว่าเดิมอีก | Semenjak update jadi sangat buruk !!!! 🤮"
"beta_patience","Patience with beta status","Forgiving attitude because the app is acknowledged to be in beta; willing to wait for improvements","17","3.94","0","0","17","0.0","0.0","I've been waiting for this. Now I can quickly create something on smartphone and save the data transfer from PC to phone. Hopefully more features will be added, upscaling of images/videos like on computer would not be ba | bad experience, the web is good, this is still beta but they released it directly without beta testers first, disappointing, often errors even though prompt is correct, hope it improves | Promising tool, but needs refinement. Google Flow has a lot of potential for streamlining workflows, and I appreciate the clean interface. The integration capabilities are quite smooth, which makes it easy to set up basi","Darauf habe ich gewartet. Damit lässt sich am Smartphone schnell etwas kreieren und ich spare mir die Datenübertragung, vom PC zum Telefon. Hoffentlich werden die Funktionen noch ausgebaut, Upscaling der Bilder/Videos, w | bad experience sih udah enak yang web ini masih beta langsung rilis aja gak bikin beta tester dulu,kecewa aja sih sering error padahal prompt udah sesuai banget, semoga improve | Promising tool, but needs refinement ""Google Flow has a lot of potential for streamlining workflows, and I appreciate the clean interface. The integration capabilities are quite smooth, which makes it easy to set up basi"
"download_resolution","Download resolution / upscaling","Missing 2K / 4K / upscale options on download, low export resolution","16","3.19","0","16","0","0.0","1.0","I've been waiting for this. Now I can quickly create something on smartphone and save the data transfer from PC to phone. Hopefully more features will be added, upscaling of images/videos like on computer would not be ba | Not the same as Flow on web. When downloading image quality decreases, even worse than Gemini. Please fix | You people need to improve the download quality to be the same as the browser base. And many other things missing","Darauf habe ich gewartet. Damit lässt sich am Smartphone schnell etwas kreieren und ich spare mir die Datenübertragung, vom PC zum Telefon. Hoffentlich werden die Funktionen noch ausgebaut, Upscaling der Bilder/Videos, w | tidak sama seperti flow yang di web . pada saat download gambar kualitas gambar menurun bahkan lebih jelek dari pada gemini . tolong perbaiki | You people need to improve on the download quality to be the same like the browser base. and many other things missing"
"regional_availability","Regional availability","App or features not available in the user's country / region","14","2.14","0","14","0","0.0","1.0","initially loved the simple interface with buttons bold and easily accessible. The enter button gives room for addition of more words rather than sending the video for generation. This seems like a lot of improvement but  | this app is trusted and the best but please in Nigeria we can't pay for subscription easily with MasterCard it's always asking for dollar virtual cards which is not easy to get please work on it thanks!!! | It's the first time I've installed an app that says it's not available to be used","initially loved the simple interface with buttons bold,easily accessible. The enter button gives room for addition of more words rather than sending the video for generation. This seems like a lot of improvement but unfo | this app is trusted and the best but please in Nigeria we can't pay for subscription easily with MasterCard it's always ask for dollars virtual card which is not easy for to get please work on it thanks!!! | É a primeira vez que instalo um aplicativo que diz não estar disponível para ser usado."
"model_selection","Model selection","Availability or choice of underlying models (Veo 3 Lite/Fast/Quality, Nano Banana, Omni Flash)","12","2.58","3","9","0","0.25","0.75","Very bad, I tried my own image on omni flash model 4 times, it always makes the same person but it's not me! Don't waste your credits! If you'll just say it's beta, don't take credits | Already giving all 5 stars to Google Flow, I use nano banana a lot, the best image generator on the market | Very smooth app and credits refresh on daily basis and you can access free Google's new model omni flash","Çok kötü, kendi görselimi omni flash modelinde 4 sefer denedim hep aynı insanı yapıyor ama o ben değilim! Boşuna kredilerinizi harcamayın! Beta diye geçiştirecekseniz, kredi almayın... | Já deixando todas as 5 estrelas para o Google Flow, eu uso muito o nano banana, melhor gerador de imagens do mercado | Very smooth app and credits refresh on daily bases and you can access free google's new model omni flash 🔥"
"wants_free_tier","Wants free / unlimited access","Desire for the app to remain free, be cheaper, or offer more generous free quota","12","4.0","0","0","12","0.0","0.0","This app is truly amazing, but I request Google to please keep this app free for images. Think about the poor public too, who might achieve something in their lives because of you. Keep this app free for images, please d | A very excellent app; it offers a free trial first, and then you need to subscribe to Google AI Plus. It's essentially a replica of Gemini's video creation feature. | the credit is too low, make the credit be 200","This app is truly amazing, but I request Google to please keep this app free for images. Think about the poor public too, who might achieve something in their lives because of you and pray for you. Keep this app free for | A very excellent app; it offers a free trial first, and then you need to subscribe to Google AI Plus. It's essentially a replica of Gemini's video creation feature. | the credit is to low make the credit to be 200"
"dislikes_concept_overall","Dislikes the concept (generic)","Generic dismissive criticism without identifying a specific feature: 'trash', 'useless', 'garbage'","12","1.0","0","12","0","0.0","1.0","Since the update it became very bad | terrible, unable to execute a simple prompt | useless","Semenjak update jadi sangat buruk !!!! 🤮 | péssimo, incapaz de executar um simples prompt | useless"
"competes_with_other_ai","Comparison to competing AI tools","Explicit comparison to other AI tools — Sora, Veo, Gemini, ChatGPT, Midjourney, Runway, Pika, Grok, Stable Diffusion","11","2.27","1","3","7","0.091","0.273","Not the same as Flow on web. When downloading image quality decreases, even worse than Gemini. Please fix | it doesn't generate all videos the way other apps do | Some mistakes but still better than many apps","tidak sama seperti flow yang di web . pada saat download gambar kualitas gambar menurun bahkan lebih jelek dari pada gemini . tolong perbaiki | it doesn't generate all videos the way other app do | في بعض الأغلط بس لسى افضل من كتير من تطبيقات"
"for_content_creators","Using it for content creation","Explicit mention of using the app for YouTube, TikTok, Instagram, UGC, or professional content workflows","11","3.82","3","2","6","0.273","0.182","Why doesn't it match the prompt, keeps changing even though the prompt is complete, doesn't follow orders, want to go back to website but can't... my YouTube content is stuck | Flow has now 100k downloads. So reviewing it before it goes viral. Using it for 5 days & immediately became a fan of it. Basically I am using Flow for YouTube videos. | absolutely great, the only problem is the subscription, it's a bit high for India and Indian young film/content creators","kenapa gak sesuai promt siih, diubah ubah mulu padahal promt udah lengkap, tapi gak sesuai perintah, mau balik ke website tapi udah gabisa.. duuuh konten YouTube ku mancet ini... | Flow Has Now 100k downloads. So reviewing it before it goes viral . Using It For 5 days & Immediately became a fan of it 💯 . Basically I am using Flow for YouTube videos. | absolutely grate the only problem is the subscription it's a bit high for india and indian young flim/content creater"
"finally_mobile_companion","Mobile app finally available","Appreciation that a mobile companion app is now available after using the web version","11","4.64","11","0","0","1.0","0.0","I've been waiting for this. Now I can quickly create something on smartphone and save the data transfer from PC to phone. Hopefully more features will be added, upscaling of images/videos like on computer would not be ba | I was waiting for this app, but so far, the rendering is poor. It doesn't understand prompts, and generates videos completely different from the image. You finally included an Animate feature. But you removed the Extend  | finally the application is released","Darauf habe ich gewartet. Damit lässt sich am Smartphone schnell etwas kreieren und ich spare mir die Datenübertragung, vom PC zum Telefon. Hoffentlich werden die Funktionen noch ausgebaut, Upscaling der Bilder/Videos, w | I was waiting for this app, but so far, the rendering is poor. It doesn’t understand prompts, and generates videos completely different from the image. You finally included an 'Animate' feature. But you removed the Exten | enfin l'application est sorti"
"not_recommended","Explicitly not recommended","Explicit warning not to download or try the app","11","1.91","0","11","0","0.0","1.0","Very bad, I tried my own image on omni flash model 4 times, it always makes the same person but it's not me! Don't waste your credits! If you'll just say it's beta, don't take credits | Very bad at creating videos, I don't recommend using it currently | Worse than doing it on the web. Take it down","Çok kötü, kendi görselimi omni flash modelinde 4 sefer denedim hep aynı insanı yapıyor ama o ben değilim! Boşuna kredilerinizi harcamayın! Beta diye geçiştirecekseniz, kredi almayın... | سيئ جدا في إنشاء الفيديوهات ، لا أنصح ب أستخدامه حاليا | ห่วยแตกกว่าทำในเว็บสะอีก เอาออกเถอะ👎👎👎"
"frame_to_frame_feature","Frame-to-frame / start-end frames","Missing start-frame / end-frame / frame-to-frame transition feature","10","2.7","0","10","0","0.0","1.0","Very disappointing, no frame feature, generated video changes shape, please add frame feature so the original photo doesn't change vs video result | Defective, can't set start frame and end frame yet | The frames-to-video function is not available in the app, only on the site.","Sangat mengecewakan fitur frame nya nggak ada, generate video malah berubah bentuk nya, tolong tambahkan fitur frame biar gak berubah foto asli sama hasil video nya | cacat belum bisa pasang frame awal dan frame akhir | a função de frames para vídeo não está disponível pelo aplicativo, somente no site."
"wasted_credits_on_failures","Credits wasted on failed generations","Specific complaint that credits are deducted even when generation fails or output is wrong (distinct from general credit complaints)","10","1.2","0","10","0","0.0","1.0","It should only deduct credits from approved projects, because sometimes the video doesn't come out as planned due to platform error and you lose credits that aren't cheap | When it became an app it got much weirder, generate one image and get a different character, generate one image but it ends up somewhere else, wasted credits for free, please fix | Nothing working in Flow, no tool is recognizing the sent elements. Videos come with absurd montages of things that have nothing to do with the prompt. But it keeps consuming credits normally even with wrong videos.","Só deveria descontar os créditos apenas de projetos aprovados, porque as vezes o vídeo não sai como planejado por próprio erro da plataforma e acaba perdendo os créditos que não são baratos | พอเป็นแอพ เพี้ยนขึ้นมาก เจนภาพอีกตัว ได้ตัวละครอีกตัว เจนภาพอีกที่ไปอยู่อีกที่ เสียเครดิตไปฟรีๆเลย แก้ไขหน่อยค่ะ | Nada funcionando até agora no Flow, nenhuma ferramenta está reconhecendo os elementos enviados. Os vídeos estão vindo com montagens absurdas de coisas que não tem nada a ver com prompt. Porém continua consumindo os crédi"
"login_authentication","Login / authentication","Sign-in failures, getting logged out, age verification, account issues","9","1.78","1","8","0","0.111","0.889","Every time I log in, it logs me out again and asks me to log in again, and so on endlessly | I actually used it to edit my friend's birthday photo yesterday. Reaching today, the app keeps crashing after uploading the documents I'll use. Also I noticed it stated flow isn't available in my region yet. I had to log | I can't open my flow AI through Google again why?? what should I do?","Every time I log in, it logs me out again and asks me to log in again, and so on endlessly😡😡😡. | I actually used it to edit my friend's birthday photo yesterday. Reaching today, the app keeps crashing after uploading the documents I'll use, and @(ing) them for clarity so it'll create the flier i want. Also I noticed | I can't open my flow ai through Google again why?? what should I do?"
"content_moderation","Content moderation / safety filters","Safety filters or censorship being too restrictive, blocking legitimate prompts","9","1.78","0","9","0","0.0","1.0","The safety filters are extremely restrictive. I am trying to create some Cyberpunk style anime characters for a SFW comic. Their outfits aren't very revealing but if a little skin is visible the safety filters automatica | It has potential if it knew better what to block or not. Simple things prevented me from doing a lot | Y'all could have left this on the google website, half of the images that I get is blurry. And really don't generate everything that you actually asking for most times it's a lot of violations where you just try to gener","The safety filters are extremely restrictive. I am trying to create some Cyberpunk style anime characters for a SFW comic I'm writing for myself in order to exercise my English writing. Their outfits aren't very revealin | tem potencial se souber melhor o bloquear ou não. coisas simples impediu que eu rerass muita coisa. | Y'all could have left this on the google website, half of the images that I get is blurry.And really don't generate everything that you actually asking for most times it's a lot of violations where you just try to genera"
"recommends_to_others","Recommends to others","Explicit recommendation to other users","8","5.0","8","0","0","1.0","0.0","Good. Must try this newest useful app from Google | cool I tried it before you need to try this to create a video | The APP is good, working perfectly compared to the site on mobile. Nothing to complain about, super recommend","Good. Must try this newest useful app from Google | cool i tried it before you need to try this to create a video | O APP está legal, tá funcionando perfeitamente do que o site no celular. Não tenho nada a reclamar super recomendo."
"language_support","Language support / localization","Output language issues (generating in wrong language) or UI not localized","4","2.25","0","4","0","0.0","1.0","It's just the internet version in app form, especially since you can already install Google Flow Gemini from the website to make it a mobile app. At least Google could have translated to other languages. This app is not  | It's generating many videos in English, instead of my language, Brazilian Portuguese. | In this version you can no longer merge videos, it doesn't follow instructions well, you ask for Latin Spanish video and it puts the language it wants and adds texts in another language, the website version was better, I","ce n'est que la version internet en application, surtout que l'on peut déjà installé Google Flow Gemini depuis le site internet pour en faire une application mobile, au moins Google aurait pu traduire dans d'autres langu | Está gerando muitos vídeos em inglês, em vez do meu idioma, Português-BR. | en esta versión ya no te permite unir videos no obedece bien las instrucciones colocadas pones poner video en español latino y te pone el idioma que quiere además de agregar textos en otro idioma estaba mejor la versión "
"ingredients_feature","Ingredients / scene composition","Missing 'Ingredients' option (reference assets for image-to-video composition)","4","2.75","0","4","0","0.0","1.0","The ingredients part is missing when I want to make a video out of a pic. Please include it. It's working in the Web Version | Please add the same features as Whisk AI in this app, with subject, scene, style options the same as Whisk AI | I couldn't find the option in the app, in the videos section, to switch from ingredients to frames","The ingridient part is missing when I want to make a video out of a pic. Please include it. It's working in the Web Version | is app me whisk ai jaisa same feature add kare jisme subject scene style sabhi option same whisk ai jaisa hi ho | não encontrei a opção no aplicativo na parte de vídeos de mudar de ingredientes para frames"
"for_personal_photos","Animating personal photos","Using the app to animate personal, family, friends, or pet photos","3","4.33","3","0","0","1.0","0.0","loved it, was good to animate photos | I love this app. I'm a deaf person from Venezuela and it's the first time I use Google Flow. It has become my favorite for bringing my baseball photos to life, the results are excellent. I don't have money to pay for a p | I actually used it to edit my friend's birthday photo yesterday. Reaching today, the app keeps crashing after uploading the documents I'll use. Also I noticed it stated flow isn't available in my region yet. I had to log","adorei foi bom animar.fotos | Me encanta esta aplicación. Soy sordo de Venezuela y es la primera vez que uso Google Flow. Se ha convertido en mi favorita para darle vida a mis fotos de béisbol, los resultados son excelentes. No tengo dinero para paga | I actually used it to edit my friend's birthday photo yesterday. Reaching today, the app keeps crashing after uploading the documents I'll use, and @(ing) them for clarity so it'll create the flier i want. Also I noticed"
"voice_audio_quality","Voice / audio quality","Quality of generated voiceovers, dialog, audio, sound effects","2","3.5","0","2","0","0.0","1.0","Positive points: Images generated (like the realistic cat and dark style) are excellent. Single image animation works very well. Take a photo mode improves the results well. Negative points: Video and motion generation i | This is the best app that I have used. This is great. I like most because it gives daily credit. If it didn't give daily credits I would have deleted this app. But it is well. It generates images and videos smoothly. But","Pontos positivos: ​Imagens geradas (como a do gato realista e estilo dark) ficam excelentes. ​A animação de imagem única funciona muito bem. ​O modo ""Take a photo"" melhora bem os resultados. ​Pontos negativos: ​A geração | This is the best app that I have used. This is great. I like most because it gives daily credit. If it didn't give daily credits I would have deleted this app. but it is well. it generates images and videos smoothly. But"
"watermark","Watermark on output","Watermark or logo appearing on generated content","2","5.0","0","2","0","0.0","1.0","creating videos works but it has a watermark stuck on | one of the best app to generate images, but please remove watermark from your videos please","tạo video cũng được nhưng bị dính logo | one of the best app to generate images😱🙏❤️, but please remove watermark from your videos please (and I'm first to comment 😃🥹)"
"video_duration_length","Video duration / length","Length of generated videos, ability to make longer videos","1","4.0","0","1","0","0.0","1.0","Good and helpful, but still lacking, please add a feature to extend videos","Bagus dan membantu, tapi masih kurang, tolong tambahkan fitur panjangkan video"
